Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
"καὶ μετὰ τοσσατίων προγόνων βασιληΐδα ῥίζαν,","καὶ με#τὰ τοσ#σα#τί#ων προ#γό#νων βα#σι#λη#ΐ#δα ῥί#ζαν,",,10,45,hex,DDDDDT,,,,,7M,,1M,,5M,7M,1,,,,1,2,2,2,,,,,1 6
ἄξιον ἧς γενεῆς καὶ ὑπέρτερον ἤνυσεν ἔργον,ἄ#ξι#ον ἧς γε#νε#ῆς καὶ ὑ#πέρ#τε#ρον ἤ#νυ#σεν ἔρ#γον,,10,46,hex,DDDDDT,,,,5M,,,,3M,5M,,1,,,1,1,3,2,4,,,,,1 2 3 4 5 6
"εἰν ὀλίγοις ἐτέεσσι; Χρόνον δ' ἐβιήσατο μούνη,","εἰν ὀ#λί#γοις ἐ#τέ#εσ#σι; Χρό#νον δ' ἐ#βι#ή#σα#το μού#νη,",,10,47,hex,DDDDDS,,,,5F,,,1M,3M,5F,7M,,,,,1,1,2,3,,,,,5 6
"καὶ σοφίην παρέλασσεν ἀειδομένου Σολομῶνος,","καὶ σο#φί#ην πα#ρέ#λασ#σεν ἀ#ει#δο#μέ#νου Σο#λο#μῶ#νος,",,10,48,hex,DDDDDT,,,,5F,,,1M,3M,5F,,,,,,,0,5,3,,,,,1 6
"νηὸν ἀναστήσασα θεηδόχον, οὗ μέγας αἰὼν","νη#ὸν ἀ#νασ#τή#σα#σα θε#η#δό#χον, οὗ μέ#γας αἰ#ὼν",,10,49,hex,DSDDDS,,,,,,B,1F,,5F,,,,,1,1,2,1,2,,,,,5
οὐ δύναται μέλψαι χαρίτων πολυδαίδαλον αἴγλην.,οὐ δύ#να#ται μέλ#ψαι χα#ρί#των πο#λυ#δαί#δα#λον αἴ#γλην.,,10,50,hex,DSDDDS,,,,5M,,,1M,3M,5M,7M,,,,,1,1,2,2,,,,,5 6
"Oἷος μὲν προβέβηκε βαθυῤῥίζοισι θεμέθλοις,","Oἷ#ος μὲν προ#βέ#βη#κε βα#θυῤ#ῥί#ζοι#σι θε#μέθ#λοις,",,10,51,hex,SDDSDS,,,,5F,,,,3M,5F,,1,,,,,1,2,3,,,,,1 2 6
νέρθεν ἀναθρώσκων τε καὶ αἰθέρος ἄστρα διώκων·,νέρ#θεν ἀ#ναθ#ρώσ#κων τε καὶ αἰ#θέ#ρος ἄσ#τρα δι#ώ#κων·,νέρθεν ἀναθρώσκων καὶ αἰθέρος ἄστρα διώκων·,10,52,hex,DSDDDS,DSTDDS ,,,5F,,,1F,,5F,,,,1,1,,2,2,3,,,,,1 5 6
"οἷος δ' ἀντολίης μηκύνεται ἐς δύσιν ἕρπων,","οἷ#ος δ' ἀν#το#λί#ης μη#κύ#νε#ται ἐς δύ#σιν ἕρ#πων,",,10,53,hex,SDSDDS,,,,5M,,,,,5M,,1,,,1,1,3,2,2,,,,,1 4 6
ἀῤῥήτοις Φαέθοντος ὑπαστράπτων ἀμαρυγαῖς,ἀῤ#ῥή#τοις Φα#έ#θον#τος ὑ#πασ#τράπ#των ἀ#μα#ρυ#γαῖς,,10,54,hex,SDDSDS,,,,5F,,,,3M,5F,,,,,,,0,4,3,,,,,
τῇ καὶ τῇ πλευρῇσι· μέσης δ' ἑκάτερθε πορείης,τῇ καὶ τῇ πλευ#ρῇ#σι· μέ#σης δ' ἑ#κά#τερ#θε πο#ρεί#ης,,10,55,hex,SSDDDS,,,,5F,,,1M,,5F,7M,1,,,,,1,2,5,,,,,1 2 3 6
κίονες ἀῤῥήκτοις ἐπὶ κίοσιν ἑστηῶτες,κί#ο#νες ἀῤ#ῥήκ#τοις ἐ#πὶ κί#ο#σιν ἑσ#τη#ῶ#τες,,10,56,hex,DSDDST,,,,,,B,,,5M,,1,,1,1,,3,5,3,,,,,1 4 6
