Iamb,,,,,,,,,,,,
critical edition,hyphenation,manuscript version,epigrame no.,verse no.,metrical pattern,ms. metrical pattern,caesura,word before caesura,long syllabe before caesura,Porson bridge,"paroxyton word, 6th foot",homodynia
,,,,,,,,"oxiton=1, parox.=2, proparox.=3, perisp.=4, properisp.=5",,,,
"Οἱ βάρβαροι δὲ προσβαλόντες τῇ πόλει,","Οἱ βάρ#βα#ροι δὲ προσ#βα#λόν#τες τῇ πό#λει,","Οἱ βάρβαροι δὲ περιλαβόντες τὴν πόλιν,",120,9,SISISI,SITbISI,5,1,1,1,1,1 4 5
"αὐτὴν στρατηγήσασαν ὡς εἶδον μόνην,","αὐ#τὴν στρα#τη#γή#σα#σαν ὡς εἶ#δον μό#νην,",,120,10,SISISP,,7,3,0,,1,1
ἔκαμψαν εὐθὺς τοὺς ἀκαμπεῖς αὐχένας.,ἔ#καμ#ψαν εὐ#θὺς τοὺς ἀ#καμ#πεῖς αὐ#χέ#νας.,,120,11,IIIISP,,5,1,0,1,1,3
Ἔδει γενέσθαι δευτέραν θεοῦ πύλην,Ἔ#δει γε#νέσ#θαι δευ#τέ#ραν θε#οῦ πύ#λην,,121,1,IISIII,,5,2,1,,1,2 5
"τῆς παρθένου τὸν οἶκον, ὡς καὶ τὸν τόκον·","τῆς παρ#θέ#νου τὸν οἶ#κον, ὡς καὶ τὸν τό#κον·",,121,2,SIIISP,,7,5,0,1,1,3 5
"κιβωτὸς ὤφθη τῆς πρὶν ἐνθεεστέρα,","κι#βω#τὸς ὤφ#θη τῆς πρὶν ἐν#θε#εσ#τέ#ρα,",,121,3,SISIIP,,5,2,1,,1,2 3
"οὐ τὰς πλάκας φέρουσα τὰς θεογράφους,","οὐ τὰς πλά#κας φέ#ρου#σα τὰς θε#ο#γρά#φους,",,121,4,SIIIII,,7,3,0,,1,1 4
ἀλλ' αὐτὸν ἔνδον τὸν θεὸν δεδεγμένη.,ἀλ#λ' αὐ#τὸν ἔν#δον τὸν θε#ὸν δε#δεγ#μέ#νη.,,121,5,SISIII,,5,2,1,,1,2 3 4
"Ἐνταῦθα κρουνοὶ σαρκικῶν καθαρσίων,","Ἐν#ταῦ#θα κρου#νοὶ σαρ#κι#κῶν κα#θαρ#σί#ων,",,121,6,SISIII,,5,1,1,,1,1 4
καὶ ψυχικῶν λύτρωσις ἀγνοημάτων·,καὶ ψυ#χι#κῶν λύτ#ρω#σις ἀγ#νο#η#μά#των·,,121,7,SISIII,,7,3,0,,1,2
"ὅσαι γάρ εἰσι τῶν παθῶν περιστάσεις,","ὅ#σαι γάρ εἰ#σι τῶν πα#θῶν πε#ρισ#τά#σεις,",,121,8,IIIIII,,5,3,0,,1,3 4
βλύζει τοσαύτας δωρεὰς τῶν θαυμάτων.,βλύ#ζει το#σαύ#τας δω#ρε#ὰς τῶν θαυ#μά#των.,,121,9,SISISI,,5,2,1,1,1,2 4
"Ἐνταῦθα νικήσασα τοὺς ἐναντίους,","Ἐν#ταῦ#θα νι#κή#σα#σα τοὺς ἐ#ναν#τί#ους,",,121,10,SISIII,,7,3,0,,1,1 4
ἀνεῖλεν αὐτοὺς ἀντὶ λόγχης εἰς ὕδωρ·,ἀ#νεῖ#λεν αὐ#τοὺς ἀν#τὶ λόγ#χης εἰς ὕ#δωρ·,,121,11,IISISI,,5,1,1,1,1,1 4
"τροπῆς γὰρ ἀλλοίωσιν οὐκ ἔχει μόνη,","τρο#πῆς γὰρ ἀλ#λοί#ω#σιν οὐκ ἔ#χει μό#νη,",,121,12,IISIII,,7,3,0,,1,1
Χριστὸν τεκοῦσα καὶ κλονοῦσα βαρβάρους.,Χρισ#τὸν τε#κοῦ#σα καὶ κλο#νοῦ#σα βαρ#βά#ρους.,,121,13,SIIIII,,5,5,0,,1,1 2 3 4
Aὕτη τεκοῦσα παρθένος πάλιν μένει·,Aὕ#τη τε#κοῦ#σα παρ#θέ#νος πά#λιν μέ#νει·,,122,1,SIIIII,,5,5,0,,1,2
καὶ μὴ θροηθῇς· ἔστι γὰρ τὸ παιδίον,καὶ μὴ θρο#η#θῇς· ἔσ#τι γὰρ τὸ παι#δί#ον,,122,2,SISIIP,,5,4,1,,1,1 3 4
θεός θελήσας προσλαβέσθαι σαρκίον.,θε#ός θε#λή#σας προσ#λα#βέσ#θαι σαρ#κί#ον.,,122,3,IISISP,,5,2,1,1,1,1 2 4
